project,state,city,churches,last_scraped,covered
CR Community News - MO - South Missourian News,AR,Mammoth Spring,0,,NO
CR Community News - MO - South Missourian News,MO,Thayer,1,2026-02-21 22:59:36,yes
CR Community News - MO - South Missourian News,MO,Thomasville,0,,NO
CR Community News - MO - The Elsberry Democrat,MO,Elsberry,1,2026-02-21 22:46:17,yes
CR Community News - MO - The Examiner,MO,Blue Springs,2,2026-02-21 22:43:22,yes
CR Community News - MO - The Examiner,MO,Grain Valley,0,,NO
CR Community News - MO - The Examiner,MO,Independence,5,2026-02-21 22:48:46,yes
CR Community News - MO - The Examiner,MO,Sugar Creek,2,2026-02-21 22:59:26,yes
CR Community News - MO - The Hermann Advertiser-Courier,MO,Berger,1,2026-02-21 22:43:07,yes
CR Community News - MO - The Hermann Advertiser-Courier,MO,Gasconade,0,,NO
CR Community News - MO - The Hermann Advertiser-Courier,MO,Hermann,1,2026-02-21 22:48:12,yes
CR Community News - MO - The Hermann Advertiser-Courier,MO,Rhineland,1,2026-02-21 22:55:02,yes
CR Community News - MO - The Lake Gazette,MO,Hunnewell,0,,NO
CR Community News - MO - The Lake Gazette,MO,Monroe City,2,2026-02-21 22:52:34,yes
CR Community News - MO - The Lake Gazette,MO,Rensselaer,0,,NO
CR Community News - MO - The Lake Gazette,MO,Stoutsville,0,,NO
CR Community News - MO - The Lincoln County Journal,MO,Cave,0,,NO
CR Community News - MO - The Lincoln County Journal,MO,Fountain N' Lakes,0,,NO
CR Community News - MO - The Lincoln County Journal,MO,Hawk Point,1,2026-02-21 22:48:05,yes
CR Community News - MO - The Lincoln County Journal,MO,Moscow Mills,0,,NO
CR Community News - MO - The Lincoln County Journal,MO,Troy,1,2026-02-21 22:59:44,yes
CR Community News - MO - The Marshall Democrat-News,MO,Arrow Rock,0,,NO
CR Community News - MO - The Marshall Democrat-News,MO,Blackburn,0,,NO
CR Community News - MO - The Marshall Democrat-News,MO,Emma,0,,NO
CR Community News - MO - The Marshall Democrat-News,MO,Gilliam,0,,NO
CR Community News - MO - The Marshall Democrat-News,MO,Grand Pass,0,,NO
CR Community News - MO - The Marshall Democrat-News,MO,Malta Bend,0,,NO
CR Community News - MO - The Marshall Democrat-News,MO,Marshall,1,2026-02-21 22:51:56,yes
CR Community News - MO - The Marshall Democrat-News,MO,Miami,0,,NO
CR Community News - MO - The Marshall Democrat-News,MO,Mount Leonard,0,,NO
CR Community News - MO - The Marshall Democrat-News,MO,Nelson,0,,NO
CR Community News - MO - The Marshall Democrat-News,MO,Slater,1,2026-02-21 22:58:21,yes
CR Community News - MO - The Marshall Democrat-News,MO,Sweet Springs,0,,NO
CR Community News - MO - The Vandalia Leader,MO,Curryville,0,,NO
CR Community News - MO - The Vandalia Leader,MO,Farber,0,,NO
CR Community News - MO - The Vandalia Leader,MO,Laddonia,1,2026-02-21 22:50:45,yes
CR Community News - MO - The Vandalia Leader,MO,Vandalia,1,2026-02-21 23:00:03,yes
CR Community News - MO - Troy Free Press,MO,Cave,0,,NO
CR Community News - MO - Troy Free Press,MO,Fountain N' Lakes,0,,NO
CR Community News - MO - Troy Free Press,MO,Hawk Point,1,2026-02-21 22:48:05,yes
CR Community News - MO - Troy Free Press,MO,Moscow Mills,0,,NO
CR Community News - MO - Troy Free Press,MO,Troy,1,2026-02-21 22:59:44,yes
CR Community News - NE - Nebraska City News Press,NE,Nebraska City,2,2026-02-21 23:36:01,yes
CR Community News - NE - Nebraska City News Press,NE,Union,0,,NO
CR Community News - NE - Syracuse Journal-Democrat,NE,Burr,0,,NO
CR Community News - NE - Syracuse Journal-Democrat,NE,Lorton,0,,NO
CR Community News - NE - Syracuse Journal-Democrat,NE,Otoe,0,,NO
CR Community News - NE - Syracuse Journal-Democrat,NE,Syracuse,2,2026-02-21 23:40:04,yes
CR Community News - NE - Syracuse Journal-Democrat,NE,Unadilla,0,,NO
CR Community News - NE - Syracuse Journal-Democrat,NE,Woodland Hills,0,,NO
CR Community News - NM CO - The Chronicle-News,NM,Angel Fire,1,2026-02-22 05:02:43,yes
CR Community News - NM CO - The Chronicle-News,CO,Branson,0,,NO
CR Community News - NM CO - The Chronicle-News,NM,Cimarron,1,2026-02-22 05:04:10,yes
CR Community News - NM CO - The Chronicle-News,NM,Des Moines,1,2026-02-22 05:04:47,yes
CR Community News - NM CO - The Chronicle-News,NM,Folsom,1,2026-02-22 05:06:46,yes
CR Community News - NM CO - The Chronicle-News,CO,Hoehne,0,,NO
CR Community News - NM CO - The Chronicle-News,NM,Maxwell,0,,NO
CR Community News - NM CO - The Chronicle-News,NM,Ranchos de Taos,1,2026-02-22 05:10:37,yes
CR Community News - NM CO - The Chronicle-News,NM,Raton,1,2026-02-22 05:10:38,yes
CR Community News - NM CO - The Chronicle-News,NM,Springer,1,2026-02-22 05:12:31,yes
CR Community News - NM CO - The Chronicle-News,NM,Taos,1,2026-02-22 05:12:38,yes
CR Community News - NM CO - The Chronicle-News,CO,Trinidad,2,2026-02-21 13:20:17,yes
CR Community News - NM CO - The Chronicle-News,CO,Valdez,0,,NO
CR Community News - NM CO - The Chronicle-News,CO,Weston,0,,NO
CR Community News - NY - The Chronicle-Express,NY,Barrington,0,,NO
CR Community News - NY - The Chronicle-Express,NY,Dresden,0,,NO
CR Community News - NY - The Chronicle-Express,NY,Dundee,0,,NO
CR Community News - NY - The Chronicle-Express,NY,Keuka Park,0,,NO
CR Community News - NY - The Chronicle-Express,NY,Penn Yan,1,2026-02-22 07:42:54,yes
CR Community News - NY - The Chronicle-Express,NY,Potter,0,,NO
CR Community News - NY - The Chronicle-Express,NY,Rushville,0,,NO
CR Community News - OH - Hilliard,OH,Hilliard,1,2026-02-21 08:49:58,yes
CR Community News - OH - Lockbourne,OH,Lockbourne,0,,NO
CR Community News - OH - Monroe County Beacon,OH,Beallsville,0,,NO
CR Community News - OH - Monroe County Beacon,OH,Clarington,0,,NO
CR Community News - OH - Monroe County Beacon,OH,Graysville,0,,NO
CR Community News - OH - Monroe County Beacon,OH,Lewisville,0,,NO
CR Community News - OH - Monroe County Beacon,OH,Miltonsburg,0,,NO
CR Community News - OH - Monroe County Beacon,OH,Stafford,0,,NO
CR Community News - OH - Monroe County Beacon,OH,Wilson,0,,NO
CR Community News - OH - Monroe County Beacon,OH,Woodsfield,2,2026-02-21 09:04:17,yes
CR Community News - OH - Paulding Progress,OH,Antwerp,1,2026-02-21 08:35:17,yes
CR Community News - OH - Paulding Progress,OH,Broughton,0,,NO
CR Community News - OH - Paulding Progress,OH,Cecil,0,,NO
CR Community News - OH - Paulding Progress,OH,Grover Hill,0,,NO
CR Community News - OH - Paulding Progress,OH,Latty,0,,NO
CR Community News - OH - Paulding Progress,OH,Melrose,0,,NO
CR Community News - OH - Paulding Progress,OH,Oakwood,0,,NO
CR Community News - OH - Paulding Progress,OH,Paulding,1,2026-02-21 08:57:27,yes
CR Community News - OH - Paulding Progress,OH,Payne,1,2026-02-21 08:57:29,yes
CR Community News - OH - Putnam County Sentinel,OH,Belmore,0,,NO
CR Community News - OH - Putnam County Sentinel,OH,Cloverdale,1,2026-02-21 08:42:37,yes
CR Community News - OH - Putnam County Sentinel,OH,Columbus Grove,1,2026-02-21 08:43:58,yes
CR Community News - OH - Putnam County Sentinel,OH,Continental,2,2026-02-21 08:44:10,yes
CR Community News - OH - Putnam County Sentinel,OH,Dupont,0,,NO
CR Community News - OH - Putnam County Sentinel,OH,Fort Jennings,1,2026-02-21 08:47:34,yes
CR Community News - OH - Putnam County Sentinel,OH,Gilboa,0,,NO
CR Community News - OH - Putnam County Sentinel,OH,Glandorf,1,2026-02-21 08:49:03,yes
CR Community News - OH - Putnam County Sentinel,OH,Kalida,1,2026-02-21 08:50:49,yes
CR Community News - OH - Putnam County Sentinel,OH,Leipsic,1,2026-02-21 08:51:29,yes
CR Community News - OH - Putnam County Sentinel,OH,Miller City,1,2026-02-21 08:54:08,yes
CR Community News - OH - Putnam County Sentinel,OH,Ottawa,2,2026-02-21 08:56:47,yes
CR Community News - OH - Putnam County Sentinel,OH,Ottoville,1,2026-02-21 08:56:48,yes
CR Community News - OH - Putnam County Sentinel,OH,Pandora,0,,NO
CR Community News - OH - Putnam County Sentinel,OH,West Leipsic,0,,NO
CR Community News - OH - Southeast Messenger,OH,Commercial Point,0,,NO
CR Community News - OH - Southeast Messenger,OH,Grove City,1,2026-02-21 08:49:25,yes
CR Community News - OH - Southeast Messenger,OH,Hilltop,0,,NO
CR Community News - OH - Southeast Messenger,OH,Lincoln Village,0,,NO
CR Community News - OH - Southeast Messenger,OH,Urbancrest,0,,NO
CR Community News - OH - Southwest Messenger,OH,Canal Winchester,1,2026-02-21 08:38:10,yes
CR Community News - OH - Southwest Messenger,OH,Groveport,1,2026-02-21 08:49:27,yes
CR Community News - OH - Southwest Messenger,OH,Obetz,0,,NO
CR Community News - OH - The Delphos Herald,OH,Delphos,2,2026-02-21 08:45:53,yes
CR Community News - OH - The Delphos Herald,OH,Fort Jennings,1,2026-02-21 08:47:34,yes
CR Community News - OH - The Delphos Herald,OH,Gomer,0,,NO
CR Community News - OH - The Delphos Herald,OH,Middle Point,0,,NO
CR Community News - OH - The Delphos Herald,OH,Ottoville,1,2026-02-21 08:56:48,yes
CR Community News - OH - The Delphos Herald,OH,Vaughnsville,0,,NO
CR Community News - OH - Times Bulletin Media,OH,Convoy,0,,NO
CR Community News - OH - Times Bulletin Media,OH,Delphos,2,2026-02-21 08:45:53,yes
CR Community News - OH - Times Bulletin Media,OH,Elgin,0,,NO
CR Community News - OH - Times Bulletin Media,OH,Middle Point,0,,NO
CR Community News - OH - Times Bulletin Media,OH,Scott,0,,NO
CR Community News - OH - Times Bulletin Media,OH,Van Wert,1,2026-02-21 09:02:15,yes
CR Community News - OH - Times Bulletin Media,OH,Venedocia,0,,NO
CR Community News - OH - Times Bulletin Media,OH,Willshire,0,,NO
CR Community News - OH - Times Bulletin Media,OH,Wren,0,,NO
CR Community News - OK - The Ardmoreite,OK,Ardmore,1,2026-02-22 00:00:52,yes
CR Community News - OK - The Ardmoreite,OK,Davis,0,,NO
CR Community News - OK - The Ardmoreite,OK,Dickson,0,,NO
CR Community News - OK - The Ardmoreite,OK,Dougherty,0,,NO
CR Community News - OK - The Ardmoreite,OK,Fox,0,,NO
CR Community News - OK - The Ardmoreite,OK,Gene Autry,0,,NO
CR Community News - OK - The Ardmoreite,OK,Healdton,0,,NO
CR Community News - OK - The Ardmoreite,OK,Lone Grove,0,,NO
CR Community News - OK - The Ardmoreite,OK,Ratliff City,0,,NO
CR Community News - OK - The Ardmoreite,OK,Springer,0,,NO
CR Community News - OK - The Ardmoreite,OK,Sulphur,1,2026-02-22 00:06:13,yes
CR Community News - OK - The Ardmoreite,OK,Tatums,0,,NO
CR Community News - OK - The Shawnee News-Star,OK,Agra,0,,NO
CR Community News - OK - The Shawnee News-Star,OK,Bethel Acres,0,,NO
CR Community News - OK - The Shawnee News-Star,OK,Bowlegs,0,,NO
CR Community News - OK - The Shawnee News-Star,OK,Carney,0,,NO
CR Community News - OK - The Shawnee News-Star,OK,Chandler,1,2026-02-22 00:01:34,yes
CR Community News - OK - The Shawnee News-Star,OK,Cromwell,0,,NO
CR Community News - OK - The Shawnee News-Star,OK,Dale,0,,NO
CR Community News - OK - The Shawnee News-Star,OK,Davenport,0,,NO
CR Community News - OK - The Shawnee News-Star,OK,Fallis,0,,NO
CR Community News - OK - The Shawnee News-Star,OK,Johnson,0,,NO
CR Community News - OK - The Shawnee News-Star,OK,Kendrick,0,,NO
CR Community News - OK - The Shawnee News-Star,OK,Konawa,1,2026-02-22 00:03:32,yes
CR Community News - OK - The Shawnee News-Star,OH,Lima,4,2026-02-21 08:51:42,yes
CR Community News - OK - The Shawnee News-Star,OK,Maud,0,,NO
CR Community News - OK - The Shawnee News-Star,OK,McLoud,1,2026-02-22 00:04:01,yes
CR Community News - OK - The Shawnee News-Star,OK,Meeker,2,2026-02-22 00:04:07,yes
CR Community News - OK - The Shawnee News-Star,OK,Prague,1,2026-02-22 00:05:32,yes
CR Community News - OK - The Shawnee News-Star,OK,Shawnee,2,2026-02-22 00:05:57,yes
CR Community News - OK - The Shawnee News-Star,OK,Sparks,0,,NO
CR Community News - OK - The Shawnee News-Star,OK,Stroud,1,2026-02-22 00:06:12,yes
CR Community News - OK - The Shawnee News-Star,OK,Tecumseh,0,,NO
CR Community News - OK - The Shawnee News-Star,OK,Warwick,0,,NO
CR Community News - OK - The Shawnee News-Star,OK,Wellston,0,,NO
CR Community News - OK - The Shawnee News-Star,OK,Wewoka,1,2026-02-22 00:07:20,yes
CR Community News - TX - Alice Echo News-Journal,TX,Alfred,0,,NO
CR Community News - TX - Alice Echo News-Journal,TX,Alice,5,2026-02-21 10:16:24,yes
CR Community News - TX - Alice Echo News-Journal,TX,Alice Acres,0,,NO
CR Community News - TX - Alice Echo News-Journal,TX,Amargosa,0,,NO
CR Community News - TX - Alice Echo News-Journal,TX,Ben Bolt,2,2026-02-21 10:19:16,yes
CR Community News - TX - Alice Echo News-Journal,TX,Coyote Acres,0,,NO
CR Community News - TX - Alice Echo News-Journal,TX,K-Bar Ranch,0,,NO
CR Community News - TX - Alice Echo News-Journal,TX,Loma Linda East,0,,NO
CR Community News - TX - Alice Echo News-Journal,TX,Orange Grove,1,2026-02-21 10:42:48,yes
CR Community News - TX - Alice Echo News-Journal,TX,Owl Ranch,0,,NO
CR Community News - TX - Alice Echo News-Journal,TX,Premont,1,2026-02-21 10:44:33,yes
CR Community News - TX - Alice Echo News-Journal,TX,Rancho Alegre,0,,NO
CR Community News - TX - Alice Echo News-Journal,TX,Sandia,2,2026-02-21 10:50:09,yes
CR Community News - TX - Alice Echo News-Journal,TX,San Diego,1,2026-02-21 10:49:42,yes
CR Community News - TX - Alice Echo News-Journal,TX,South La Paloma,0,,NO
CR Community News - TX - Alice Echo News-Journal,TX,Westdale,0,,NO
CR Community News - TX - Brownwood Bulletin,TX,Bangs,0,,NO
CR Community News - TX - Brownwood Bulletin,TX,Blanket,0,,NO
CR Community News - TX - Brownwood Bulletin,TX,Brownwood,1,2026-02-21 10:20:33,yes
CR Community News - TX - Brownwood Bulletin,TX,Early,0,,NO
CR Community News - TX - Brownwood Bulletin,TX,Lake Brownwood,0,,NO
CR Community News - TX - Brownwood Bulletin,TX,May,0,,NO
CR Community News - TX - Brownwood Bulletin,TX,Thunderbird Bay,0,,NO
CR Community News - TX - Brownwood Bulletin,TX,Zephyr,0,,NO
CR Community News - TX - Glen Rose Reporter,TX,Glen Rose,1,2026-02-21 10:30:13,yes
CR Community News - TX - Palo Pinto Press,TX,Gordon,0,,NO
CR Community News - TX - Palo Pinto Press,TX,Graford,1,2026-02-21 10:30:25,yes
CR Community News - TX - Palo Pinto Press,TX,Mineral Wells,1,2026-02-21 10:40:45,yes
CR Community News - TX - Palo Pinto Press,TX,Mingus,0,,NO
CR Community News - TX - Palo Pinto Press,TX,Palo Pinto,0,,NO
CR Community News - TX - Palo Pinto Press,TX,Santo,0,,NO
CR Community News - TX - Palo Pinto Press,TX,Strawn,1,2026-02-21 10:52:18,yes
CR Community News - TX - Runnels County Register,TX,Ballinger,1,2026-02-21 10:18:22,yes
CR Community News - TX - Runnels County Register,TX,Miles,1,2026-02-21 10:40:39,yes
CR Community News - TX - Runnels County Register,TX,Rowena,2,2026-02-21 10:46:14,yes
CR Community News - TX - Runnels County Register,TX,Wingate,0,,NO
CR Community News - TX - Runnels County Register,TX,Winters,1,2026-02-21 10:55:39,yes
CR Community News - TX - Sherman Herald-Democrat,TX,Knollwood,0,,NO
CR Community News - TX - Sherman Herald-Democrat,TX,Sherman,2,2026-02-21 10:50:52,yes
CR Community News - TX - Sherman Herald-Democrat,TX,Southmayd,0,,NO
CR Community News - TX - Stephenville Empire-Tribune,TX,Bluff Dale,0,,NO
CR Community News - TX - Stephenville Empire-Tribune,TX,Dublin,2,2026-02-21 10:25:45,yes
CR Community News - TX - Stephenville Empire-Tribune,TX,Huckabay,0,,NO
CR Community News - TX - Stephenville Empire-Tribune,TX,Lingleville,0,,NO
CR Community News - TX - Stephenville Empire-Tribune,TX,Stephenville,1,2026-02-21 10:52:04,yes
CR Community News - TX - Waxahachie Daily Light,TX,Midlothian,0,,NO
CR Community News - TX - Waxahachie Daily Light,TX,Oak Leaf,0,,NO
CR Community News - TX - Waxahachie Daily Light,TX,Ovilla,0,,NO
CR Community News - UT - The Richfield Reaper,UT,Annabella,0,,NO
CR Community News - UT - The Richfield Reaper,UT,Aurora,0,,NO
CR Community News - UT - The Richfield Reaper,UT,Central Valley,2,2026-02-22 02:26:41,yes
CR Community News - UT - The Richfield Reaper,UT,Elsinore,0,,NO
CR Community News - UT - The Richfield Reaper,UT,Glenwood,0,,NO
CR Community News - UT - The Richfield Reaper,UT,Joseph,0,,NO
CR Community News - UT - The Richfield Reaper,UT,Koosharem,0,,NO
CR Community News - UT - The Richfield Reaper,UT,Monroe,0,,NO
CR Community News - UT - The Richfield Reaper,UT,Redmond,0,,NO
CR Community News - UT - The Richfield Reaper,UT,Richfield,0,,NO
CR Community News - UT - The Richfield Reaper,UT,Salina,0,,NO
CR Community News - UT - The Richfield Reaper,UT,Sigurd,0,,NO
CR Community News - UT - Uintah Basin Standard,UT,Ballard,0,,NO
CR Community News - UT - Uintah Basin Standard,UT,Duchesne,0,,NO
CR Community News - UT - Uintah Basin Standard,UT,Myton,0,,NO
CR Community News - UT - Uintah Basin Standard,UT,Roosevelt,1,2026-02-22 02:27:54,yes
CR Community News - UT - Vernal Express,UT,Maeser,0,,NO
CR Community News - UT - Vernal Express,UT,Naples,0,,NO
CR Community News - UT - Vernal Express,UT,Vernal,1,2026-02-22 02:28:25,yes
