person_name,title,first_name,middle_name,last_name,primary_role,all_roles,church_count,churches,church_names,city_count,cities,states,pdf_count,bulletin_count_with_date,earliest_bulletin,latest_bulletin,active_2026,active_2025,active_2024,years_active,confidence
Daniel F. Hanley,Rev.,Daniel,F.,Hanley,Priest,Priest,1,us-va-annandale-st-ambrose-55a4c411,St. Ambrose,1,Annandale,virginia,1,1,2025-10-12,2025-10-12,False,True,False,2025,high
Daniel F. Stramara,Br.,Daniel,F.,Stramara,Brother,Brother,1,us-ri-lincoln-st-basil-the-great-melkite-e36e8efc,St. Basil the Great (Melkite),1,Lincoln,rhode_island,1,1,2020-12-01,2020-12-01,False,False,False,2020,high
Daniel F. Walsh,Reverend,Daniel,F.,Walsh,Priest,Priest,1,us-ca-cotati-st-joseph-1af1b5ca,St. Joseph,1,Cotati,california,1,1,2026-02-01,2026-02-01,True,False,False,2026,high
Daniel Fagan,Rev.,Daniel,,Fagan,Priest,Priest,1,us-fl-sunrise-st-bernard-30ee6398,St. Bernard,1,Sunrise,florida,1,0,,,False,False,False,,high
Daniel Fallon,Rev.,Daniel,,Fallon,Priest,Priest,2,us-il-chicago-queen-of-peace-parish-our-lady-mother-of-the-church-4ecff700; us-il-chicago-queen-of-peace-parish-st-eugene-cd88f6ec,Our Lady Mother of the Church; St. Eugene,1,Chicago,illinois,2,1,2024-11-17,2024-11-17,False,False,True,2024,high
Daniel Faris,Fr.,Daniel,,Faris,Priest,Priest,1,us-mi-clinton-township-saint-sharbel-maronite-37ab7d5e,St. Sharbel (Maronite),1,Clinton Township,michigan,1,1,2025-03-09,2025-03-09,False,True,False,2025,high
Daniel Farley,Rev.,Daniel,,Farley,Priest,Priest,1,us-wi-wautoma-st-joseph-2742fddb,St. Joseph,1,Wautoma,wisconsin,1,0,,,False,False,False,,high
Daniel Felton,Bishop,Daniel,,Felton,Bishop,Bishop,3,us-mn-cohasset-st-augustine-catholic-church-3edb44da; us-mn-grand-rapids-church-of-st-joseph-1fb86b7d; us-mn-grand-rapids-st-joseph-catholic-church-908e9331,St. Augustine Catholic Church; St. Joseph; St. Joseph Catholic Church,2,Cohasset; Grand Rapids,minnesota,3,0,,,False,False,False,,high
Daniel Fickes,Rev.,Daniel,,Fickes,Priest,Priest,1,us-oh-lyndhurst-st-clare-da7215e4,St. Clare,1,Lyndhurst,ohio,1,0,,,False,False,False,,high
Daniel Firmin,Fr.; Rev.,Daniel,,Firmin,Priest,Priest,3,us-ga-augusta-st-joseph-89c5daa4; us-ga-savannah-saint-james-ad969f64; us-md-kensington-holy-redeemer-b480da46,Holy Redeemer; St. James the Less; St. Joseph,3,Augusta; Kensington; Savannah,georgia; maryland,3,2,2026-02-02,2026-02-22,True,False,False,2026,high
Daniel Fleming,Fr.,Daniel,,Fleming,Priest,Priest,3,us-in-saint-meinrad-our-lady-of-monte-cassino-shrine-140fceea; us-in-saint-meinrad-saint-meinrad-archabbey-our-lady-of-einsiedeln-church-c5353a66; us-in-st-meinrad-archabbatial-church-of-our-lady-of-einsiedeln-758556c5,"Archabbatial Church of Our Lady of Einsiedeln; Our Lady of Monte Cassino Shrine; St. Meinrad Archabbey, Our Lady of Einsiedeln Church",2,Saint Meinrad; St. Meinrad,indiana,3,0,,,False,False,False,,high
Daniel Flo,Bishop,Daniel,,Flo,Bishop,Bishop,2,us-ma-mattapan-our-lady-of-mount-carmel-4072ed83; us-wi-kenosha-st-therese-7936228d,Our Lady of Mount Carmel Catholic Parish; St. Therese of Lisieux,2,Kenosha; Mattapan,massachusetts; wisconsin,2,2,2022-04-24,2025-08-20,False,True,False,2022; 2025,high
Daniel Flores,Bishop,Daniel,,Flores,Bishop,Bishop,18,us-ca-hawthorne-st-joseph-catholic-church-66ab6892; us-il-chicago-our-lady-of-the-rosary-parish-st-bartholomew-28daed96; us-il-chicago-st-pascal-church-our-lady-of-the-rosary-parish-1d2a4eb3; us-il-northfield-divine-mercy-parish-st-philip-the-apostle-9f36ff5f; us-il-winnetka-divine-mercy-parish-sacred-heart-church-d11f1d30; us-mo-russellville-st-michael-aa5a7dad; us-tx-edinburg-capilla-de-san-jose-cc305aec; us-tx-edinburg-sacred-heart-a5388a5f; us-tx-jacksonville-our-lady-of-sorrows-18d2cf54; us-tx-lagarto-st-francis-of-assisi-mission-d8de1511; us-tx-new-summerfield-our-lady-of-guadalupe-a253c577; us-tx-orange-grove-st-john-of-the-cross-629db098; us-tx-port-isabel-our-lady-star-of-the-sea-5639a955; us-tx-san-antonio-st-gregory-the-great-722f256d; us-tx-san-antonio-st-gregory-the-great-catholic-church-47032314; us-tx-sandia-st-francis-of-assisi-catholic-mission-00b8af04; us-wi-kenosha-our-lady-of-mount-carmel-f3967ffe; us-wi-kenosha-st-therese-7936228d,"Capilla de San Jose Mission; Divine Mercy Parish-Sacred Heart Church; Mission of Our Lady of Guadalupe; Mission of St. Francis of Assisi; Our Lady of Mount Carmel; Our Lady of Sorrows; Our Lady, Star of the Sea; Sacred Heart; St Joseph Catholic Church; St Pascal Catholic Church (Our Lady Of The Rosary Parish); St. Bartholomew; St. Francis of Assisi Catholic Mission; St. Gregory the Great; St. Gregory the Great Catholic Church; St. John of the Cross; St. Michael; St. Philip the Apostle; St. Therese of Lisieux",14,Chicago; Edinburg; Hawthorne; Jacksonville; Kenosha; Lagarto; New Summerfield; Northfield; Orange Grove; Port Isabel; Russellville; San Antonio; Sandia; Winnetka,california; illinois; missouri; texas; wisconsin,18,7,2023-06-04,2026-02-01,True,True,True,2023; 2024; 2025; 2026,high
Daniel Fox,Fr.; Rev.,Daniel,,Fox,Priest,Priest,4,us-mi-bay-city-all-saints-parish-st-boniface-2e5a4168; us-mi-bay-city-all-saints-parish-st-james-53bc5541; us-mi-edenville-our-lady-of-grace-parish-st-anne-14c40312; us-mi-sanford-our-lady-of-grace-parish-st-agnes-e678c749,All Saints Parish - St. Boniface; All Saints Parish - St. James; St. Agnes; St. Anne,3,Bay City; Edenville; Sanford,michigan,4,0,,,False,False,False,,high
Daniel Frances,Father,Daniel,,Frances,Priest,Priest,3,us-ny-rochester-cabrini-parish-annunciation-98b2e0ad; us-ny-rochester-cabrini-parish-corpus-christi-0c3a67eb; us-ny-rochester-st-frances-xavier-cabrini-st-michael-80ff4f6d,Cabrini Parish - Annunciation; Cabrini Parish - Corpus Christi; St. Michael,1,Rochester,new_york,3,1,2024-03-17,2024-03-17,False,False,True,2024,high
Daniel G Keefe,Rev.,Daniel,G,Keefe,Priest,Priest,4,us-ct-enfield-holy-family-church-st-jeanne-jugan-parish-c870addf; us-ct-enfield-st-bernard-church-st-jeanne-jugan-parish-f9d3ba53; us-ct-enfield-st-martha-church-st-jeanne-jugan-parish-9293d447; us-ct-enfield-st-patrick-church-st-jeanne-jugan-parish-64548702,Holy Family Church (St. Jeanne Jugan Parish); St. Bernard's Church (St. Jeanne Jugan Parish); St. Martha (St. Jeanne Jugan Parish); St. Patrick Church (St. Jeanne Jugan Parish),1,Enfield,connecticut,4,1,2025-07-06,2025-07-06,False,True,False,2025,high
Daniel G. Carroll,Deacon,Daniel,G.,Carroll,Deacon,Deacon,1,us-md-bethesda-church-of-the-little-flower-d360d4b1,Little Flower,1,Bethesda,maryland,1,0,,,False,False,False,,high
Daniel G. Dufner,Rev.,Daniel,G.,Dufner,Priest,Priest,1,us-wa-yakima-holy-family-a1ceaa8d,Holy Family,1,Yakima,washington,1,1,2025-11-02,2025-11-02,False,True,False,2025,high
Daniel G. Shaughnessy,Rev.,Daniel,G.,Shaughnessy,Priest,Priest,1,us-mo-imperial-st-joseph-41a12c01,St. Joseph,1,Imperial,missouri,1,1,2024-07-01,2024-07-01,False,False,True,2024,high
Daniel Gagnon,Fr.; Reverend,Daniel,,Gagnon,Priest,Priest,3,us-al-leeds-st-theresa-of-the-child-jesus-1a98b44b; us-ca-hilmar-holy-rosary-ee6b9474; us-ca-stevinson-st-mary-419abbdc,Holy Rosary; St. Mary; St. Theresa of the Child Jesus,3,Hilmar; Leeds; Stevinson,alabama; california,3,1,2022-04-17,2022-04-17,False,False,False,2022,high
Daniel Gallaugher,Rev.,Daniel,,Gallaugher,Priest,Priest,1,us-md-burtonsville-church-of-the-resurrection-bdf9231c,Resurrection,1,Burtonsville,maryland,1,0,,,False,False,False,,high
Daniel Garcia,Bishop; Fr.,Daniel,,Garcia,Bishop,Bishop; Priest,12,us-ca-carmel-valley-our-lady-of-mt-carmel-fbe819c3; us-ca-long-beach-st-barnabas-catholic-church-98ecb4b1; us-ca-los-osos-st-elizabeth-ann-seton-0ed877e5; us-ca-oakland-st-augustine-4a61fa1f; us-md-columbia-st-john-the-evangelist-8db2bbba; us-or-portland-st-birgitta-8c1398e0; us-pa-pittsburgh-st-benedict-the-moor-61a94a26; us-tx-cameron-st-monica-82303fd2; us-tx-chappell-hill-st-stanislaus-3732ab79; us-tx-hearne-st-mary-62afdddd; us-tx-lockhart-st-mary-of-the-visitation-4d940367; us-tx-salado-st-stephen-cf572b9b,Our Lady of Mount Carmel; St Elizabeth Ann Seton; St. Augustine; St. Barnabas Catholic Church; St. Benedict the Moor; St. Birgitta; St. John the Evangelist; St. Mary; St. Monica; St. Stanislaus; St. Stephen,12,Cameron; Carmel Valley; Chappell Hill; Columbia; Hearne; Lockhart; Long Beach; Los Osos; Oakland; Pittsburgh; Portland; Salado,california; maryland; oregon; pennsylvania; texas,12,3,2025-07-20,2026-02-01,True,True,False,2025; 2026,high
Daniel Gartland,Fr.,Daniel,,Gartland,Priest,Priest,2,us-in-oxford-st-patrick-504d25bd; us-in-south-bend-saint-stanislaus-a8289c6a,St. Patrick; St. Stanislaus,2,Oxford; South Bend,indiana,2,2,2023-08-13,2025-05-01,False,True,False,2023; 2025,high
Daniel Gee,Rev.; Reverend,Daniel,,Gee,Priest,Priest,3,us-va-front-royal-christendom-college-christ-the-king-chapel-8f6716a1; us-va-front-royal-st-john-the-baptist-e7be922f; us-va-front-royal-st-thomas-more-chapel-992d3c51,St. John the Baptist; St. Thomas More Chapel; The Chapel of Christ the King,1,Front Royal,virginia,3,2,2018-01-01,2024-09-08,False,False,True,2018; 2024,high
Daniel Gerardo Mendoza,,Daniel,Gerardo,Mendoza,Priest,Priest,1,us-md-rockville-st-raphael-70c3d6ba,St. Raphael,1,Rockville,maryland,1,1,2025-08-24,2025-08-24,False,True,False,2025,high
Daniel Gifford,Fr.,Daniel,,Gifford,Pastor,Celebrant; Pastor; Priest,5,us-il-annawan-church-of-the-sacred-heart-edeed567; us-il-atkinson-st-anthony-8add9e7a; us-il-geneseo-st-malachy-a5e5f14e; us-il-moline-sacred-heart-f364b631; us-il-sheffield-church-of-st-patrick-f39bc5b9,Sacred Heart; St. Anthony; St. Malachy; St. Patrick,5,Annawan; Atkinson; Geneseo; Moline; Sheffield,illinois,5,2,2025-09-20,2026-02-22,True,True,False,2025; 2026,high
Daniel Gilbert,Deacon,Daniel,,Gilbert,Deacon,Deacon,3,us-in-saint-meinrad-our-lady-of-monte-cassino-shrine-140fceea; us-in-saint-meinrad-saint-meinrad-archabbey-our-lady-of-einsiedeln-church-c5353a66; us-in-st-meinrad-archabbatial-church-of-our-lady-of-einsiedeln-758556c5,"Archabbatial Church of Our Lady of Einsiedeln; Our Lady of Monte Cassino Shrine; St. Meinrad Archabbey, Our Lady of Einsiedeln Church",2,Saint Meinrad; St. Meinrad,indiana,3,0,,,False,False,False,,high
Daniel Gomez,Father,Daniel,,Gomez,Priest,Priest,3,us-ny-rochester-cabrini-parish-annunciation-98b2e0ad; us-ny-rochester-cabrini-parish-corpus-christi-0c3a67eb; us-ny-rochester-st-frances-xavier-cabrini-st-michael-80ff4f6d,Cabrini Parish - Annunciation; Cabrini Parish - Corpus Christi; St. Michael,1,Rochester,new_york,3,1,2024-02-25,2024-02-25,False,False,True,2024,high
Daniel Gormley,Father,Daniel,,Gormley,Priest,Priest,1,us-ok-poteau-immaculate-conception-of-the-blessed-virgin-mary-aaafd3db,Immaculate Conception,1,Poteau,oklahoma,1,0,,,False,False,False,,high
Daniel Green,Fr.,Daniel,,Green,Priest,Priest,1,us-la-new-orleans-notre-dame-seminary-de3b5a51,Notre Dame Seminary,1,New Orleans,louisiana,1,1,2020-05-01,2020-05-01,False,False,False,2020,high
Daniel Groody,Father; Fr.; Rev.,Daniel,,Groody,Priest,Priest,7,us-il-oak-park-ascension-97fbf340; us-il-oak-park-st-edmund-church-ascension-and-st-edmund-parish-be226bbc; us-or-portland-all-saints-parish-0534386f; us-vt-bradford-our-lady-of-perpetual-help-068f5471; us-vt-norwich-st-francis-of-assisi-0a650ece; us-vt-south-strafford-our-lady-of-light-97af6abb; us-vt-wells-river-st-eugene-a365f094,All Saints; Ascension; Our Lady of Light; Our Lady of Perpetual Help Church; St. Edmund (Ascension and St. Edmund Parish); St. Eugene; St. Francis of Assisi,6,Bradford; Norwich; Oak Park; Portland; South Strafford; Wells River,illinois; oregon; vermont,7,2,2024-06-09,2025-07-13,False,True,True,2024; 2025,high
Daniel Guo,Rev.,Daniel,,Guo,Priest,Priest,1,us-ny-flushing-st-michael-4eb1aa58,St. Michael,1,Flushing,new_york,1,1,2026-02-22,2026-02-22,True,False,False,2026,high
Daniel H. Mueggenborg,Rev.; Reverend,Daniel,H.,Mueggenborg,Priest,Priest,2,us-nv-reno-st-rose-of-lima-1f13e643; us-wa-tacoma-st-charles-borromeo-d34b5c5b,St. Charles Borromeo; St. Rose of Lima,2,Reno; Tacoma,nevada; washington,2,1,2026-02-08,2026-02-08,True,False,False,2026,high
Daniel Hanley,Fr.,Daniel,,Hanley,Priest,Priest,7,us-va-annandale-st-ambrose-55a4c411; us-va-basye-our-lady-of-the-shenandoah-74262c05; us-va-front-royal-st-john-the-baptist-e7be922f; us-va-front-royal-st-thomas-more-chapel-992d3c51; us-va-lake-ridge-st-elizabeth-ann-seton-54101808; us-va-springfield-st-raymond-of-peñafort-ebb44acf; us-va-woodstock-st-john-bosco-catholic-church-7161b6ec,Our Lady of the Shenandoah; St. Ambrose; St. Elizabeth Ann Seton; St. John Bosco Catholic Church; St. John the Baptist; St. Raymond of Peñafort; St. Thomas More Chapel,6,Annandale; Basye; Front Royal; Lake Ridge; Springfield; Woodstock,virginia,7,4,2024-06-01,2025-07-13,False,True,True,2024; 2025,high
Daniel Harrington,Fr.,Daniel,,Harrington,Priest,Priest,4,us-or-cave-junction-st-patrick-of-the-forest-343e67ac; us-or-gold-hill-our-lady-of-the-river-91303ea0; us-or-grants-pass-st-anne-7d3824cb; us-or-rogue-river-our-lady-of-the-river-catholic-church-ceb3d0bb,Our Lady of the River; Our Lady of the River Catholic Church; St. Anne; St. Patrick of the Forest,4,Cave Junction; Gold Hill; Grants Pass; Rogue River,oregon,4,0,,,False,False,False,,high
Daniel Havron,Fr.,Daniel,,Havron,Priest,Priest,1,us-mi-livonia-madonna-university-chapel-d6649002,Madonna University Chapel,1,Livonia,michigan,1,0,,,False,False,False,,high
Daniel Heenan,Fr.,Daniel,,Heenan,Priest,Priest,1,us-ca-sacramento-st-stephen-the-first-martyr-8820750f,St. Stephen the First Martyr,1,Sacramento,california,1,1,2026-02-22,2026-02-22,True,False,False,2026,high
Daniel Heffernan,Brother,Daniel,,Heffernan,Brother,Brother,1,us-mi-south-lyon-miles-christi-family-center-89df9ade,Miles Christi Family Center,1,South Lyon,michigan,1,1,2021-08-01,2021-08-01,False,False,False,2021,high
Daniel Hegarty,Father,Daniel,,Hegarty,Priest,Priest,1,us-fl-titusville-st-teresa-catholic-church-2b874846,St. Teresa Catholic Church,1,Titusville,florida,1,0,,,False,False,False,,high
Daniel Herlihy,Monsignor; Msgr.,Daniel,,Herlihy,Monsignor,Monsignor,3,us-nj-port-reading-st-anthony-of-padua-d350b4cc; us-nj-raritan-st-joseph-holy-trinity-parish-52ba5810; us-nj-woodbridge-our-lady-of-mt-carmel-st-anthony-of-padua-parish-fefa5790,Our Lady of Mt. Carmel (St. Anthony of Padua Parish); St. Anthony of Padua; St. Joseph (Holy Trinity Parish),3,Port Reading; Raritan; Woodbridge,new_jersey,3,1,2024-10-27,2024-10-27,False,False,True,2024,high
Daniel Herman,Deacon,Daniel,,Herman,Deacon,Deacon,3,us-in-saint-meinrad-our-lady-of-monte-cassino-shrine-140fceea; us-in-saint-meinrad-saint-meinrad-archabbey-our-lady-of-einsiedeln-church-c5353a66; us-in-st-meinrad-archabbatial-church-of-our-lady-of-einsiedeln-758556c5,"Archabbatial Church of Our Lady of Einsiedeln; Our Lady of Monte Cassino Shrine; St. Meinrad Archabbey, Our Lady of Einsiedeln Church",2,Saint Meinrad; St. Meinrad,indiana,3,0,,,False,False,False,,high
Daniel Hess,Fr.,Daniel,,Hess,Priest,Priest,4,us-oh-cincinnati-oratory-of-st-john-vianney-at-st-anthony-581e2ad8; us-oh-cincinnati-st-cecilia-d6257a2b; us-oh-hyde-park-st-mary-43662c3c; us-oh-owensville-holy-family-parishes-44072fc1,St Louis Church; St. Anthony Parish; St. Cecilia; St. Mary,3,Cincinnati; Hyde Park; Owensville,ohio,4,3,2025-02-09,2025-09-20,False,True,False,2025,high
Daniel Heusel,Fr.,Daniel,,Heusel,Priest,Priest,1,us-oh-marietta-st-john-the-baptist-roman-catholic-church-c51315c0,St. John Catholic Church,1,Marietta,ohio,1,0,,,False,False,False,,high
Daniel Hoehn,Fr.; Rev.,Daniel,,Hoehn,Priest,Priest,3,us-il-elmhurst-mary-queen-of-heaven-dd003fba; us-il-lockport-st-joseph-0b1e5bee; us-il-villa-park-st-alexander-6569291e,Mary Queen of Heaven; St. Alexander; St. Joseph,3,Elmhurst; Lockport; Villa Park,illinois,3,2,2025-03-01,2026-02-15,True,True,False,2025; 2026,high
Daniel Hoff,Father,Daniel,,Hoff,Priest,Priest,2,us-pa-erie-holy-rosary-mission-4268411b; us-pa-erie-st-john-the-baptist-ac0d02a0,Holy Rosary; St. John the Baptist,1,Erie,pennsylvania,2,0,,,False,False,False,,high
Daniel Hoffman,Rev.; Reverend,Daniel,,Hoffman,Priest,Priest,3,us-pa-erie-holy-rosary-mission-4268411b; us-pa-erie-st-john-the-baptist-ac0d02a0; us-pa-union-city-church-of-our-lady-of-fatima-b9c6e06b,Holy Rosary; Our Lady of Fatima; St. John the Baptist,2,Erie; Union City,pennsylvania,3,0,,,False,False,False,,high
Daniel Holman,Father,Daniel,,Holman,Priest,Priest,1,us-ar-fort-smith-st-scholastica-monastery-866a149d,St. Scholastica Monastery,1,Fort Smith,arkansas,1,1,2023-07-01,2023-07-01,False,False,False,2023,high
Daniel Horan,Fr.,Daniel,,Horan,Priest,Priest,3,us-ca-camarillo-padre-serra-parish-8e7761dd; us-wa-tenino-st-peter-45a8d064; us-wa-yelm-st-columban-ed07d11b,Mission of St. Peter; Padre Serra Parish; St. Columban,3,Camarillo; Tenino; Yelm,california; washington,3,1,2025-05-20,2025-05-20,False,True,False,2025,high
Daniel Houde,Fr.,Daniel,,Houde,Priest,Priest,1,us-tn-cookeville-st-thomas-aquinas-ddbf0eb2,St. Thomas Aquinas,1,Cookeville,tennessee,1,1,2024-11-01,2024-11-01,False,False,True,2024,high
Daniel Hunt,Fr.,Daniel,,Hunt,Priest,Priest,3,us-oh-cincinnati-oratory-of-st-john-vianney-at-st-anthony-581e2ad8; us-oh-cincinnati-st-cecilia-d6257a2b; us-oh-hyde-park-st-mary-43662c3c,St. Anthony Parish; St. Cecilia; St. Mary,2,Cincinnati; Hyde Park,ohio,3,2,2025-05-25,2025-06-20,False,True,False,2025,high
Daniel Hyman,Fr.,Daniel,,Hyman,Priest,Priest,2,us-mi-battle-creek-st-jerome-7a81b85f; us-mi-battle-creek-st-joseph-26208d81,St. Jerome; St. Joseph,1,Battle Creek,michigan,2,0,,,False,False,False,,high
Daniel I. Kubala,Rev.,Daniel,I.,Kubala,Priest,Priest,1,us-fl-miami-st-raymond-of-peñafort-1a58f055,St. Raymond,1,Miami,florida,1,1,2024-11-10,2024-11-10,False,False,True,2024,high
Daniel J Fox,Father,Daniel,J,Fox,Priest,Priest,2,us-mi-edenville-our-lady-of-grace-parish-st-anne-14c40312; us-mi-sanford-our-lady-of-grace-parish-st-agnes-e678c749,St. Agnes; St. Anne,2,Edenville; Sanford,michigan,2,0,,,False,False,False,,high
Daniel J Jesus,Bishop,Daniel,J,Jesus,Bishop,Bishop,1,us-wi-brussels-st-francis-and-st-mary-c01a1578,St. Francis and St. Mary,1,Brussels,wisconsin,1,0,,,False,False,False,,high
Daniel J Plocharczyk,Msgr.,Daniel,J,Plocharczyk,Monsignor,Monsignor,1,us-ct-new-britain-sacred-heart-c9ac232e,Sacred Heart Church of NB,1,New Britain,connecticut,1,0,,,False,False,False,,high
Daniel J. Brady,Rev.,Daniel,J.,Brady,Priest,Priest,1,us-il-arlington-heights-our-lady-of-the-wayside-fea71ae1,Our Lady of the Wayside,1,Arlington Heights,illinois,1,1,2026-02-01,2026-02-01,True,False,False,2026,high
Daniel J. Collins,Rev.,Daniel,J.,Collins,Priest,Priest,1,us-il-joliet-st-raymond-nonnatus-4e868c77,Cathedral of St. Raymond Nonnatus,1,Joliet,illinois,1,1,2026-02-01,2026-02-01,True,False,False,2026,high
Daniel J. Condon,Rev.,Daniel,J.,Condon,Priest,Priest,1,us-il-des-plaines-carmel-of-des-plaines-eeeae256,Carmel of Des Plaines,1,Des Plaines,illinois,1,0,,,False,False,False,,high
Daniel J. Felton,Bishop,Daniel,J.,Felton,Bishop,Bishop,2,us-mn-baudette-sacred-heart-b84ca18e; us-mn-sabin-st-cecilia-2575bbb0,Sacred Heart; St. Cecilia,2,Baudette; Sabin,minnesota,2,2,2024-04-01,2024-05-05,False,False,True,2024,high
Daniel J. Fox,Rev.,Daniel,J.,Fox,Priest,Priest,21,us-mi-argyle-good-shepherd-parish-st-joseph-5622e99a; us-mi-bay-city-our-lady-of-peace-parish-st-mary-of-the-assumption-3054a82e; us-mi-clare-our-lady-of-hope-parish-st-cecilia-f0108f95; us-mi-hemlock-st-john-the-xxiii-parish-st-mary-113d5b87; us-mi-kinde-our-lady-of-perpetual-help-parish-st-felix-of-valois-1c1aaf0d; us-mi-merrill-st-john-the-xxiii-parish-sacred-heart-277584f1; us-mi-midland-assumption-of-the-blessed-virgin-mary-d3b8b531; us-mi-perrinton-st-paul-parish-st-martin-de-porres-4ac277c5; us-mi-rosebush-our-lady-of-hope-parish-st-henry-7fa63ae5; us-mi-ryan-st-john-the-xxiii-parish-st-patrick-4729647b; us-mi-saginaw-holy-family-9654408f; us-mi-saginaw-mary-of-the-assumption-4b221642; us-mi-saginaw-st-dominic-parish-ss-peter-and-paul-bc6b32b0; us-mi-saginaw-st-francis-de-sales-parish-st-christopher-202d71b9; us-mi-saginaw-st-francis-of-assisi-parish-st-anthony-of-padua-787a3441; us-mi-saginaw-st-francis-of-assisi-parish-st-casimir-bfae434f; us-mi-saint-charles-mary-of-the-immaculate-conception-f107306a; us-mi-ubly-good-shepherd-parish-st-columbkille-3925d743; us-mi-ubly-good-shepherd-parish-st-ignatius-015fb758; us-mi-ubly-good-shepherd-parish-st-john-the-evangelist-4eb7a946; us-mi-ubly-st-ignatius-catholic-church-good-shepherd-parish-775a088a,Assumption of the Blessed Virgin Mary; Cathedral of St. Mary of the Assumption; Good Shepherd Parish - St. Ignatius; Holy Family; Mary of the Immaculate Conception; Our Lady of Peace Parish - St. Mary of the Assumption; Our Lady of Perpetual Help Parish - St. Felix of Valois; St Francis de Sales Church; St. Anthony of Padua; St. Cecilia; St. Columbkille; St. Dominic Parish - Ss. Peter and Paul; St. Francis of Assisi Parish - St. Casimir; St. Henry; St. Ignatius Catholic Church (Good Shepherd Parish); St. John the Evangelist; St. John the XXIII Parish - Sacred Heart; St. John the XXIII Parish - St. Mary; St. John the XXIII Parish - St. Patrick; St. Joseph; St. Martin de Porres,13,Argyle; Bay City; Clare; Hemlock; Kinde; Merrill; Midland; Perrinton; Rosebush; Ryan; Saginaw; Saint Charles; Ubly,michigan,21,0,,,False,False,False,,high
Daniel J. Herlihy,Msgr.,Daniel,J.,Herlihy,Monsignor,Monsignor,1,us-nj-spotswood-immaculate-conception-5fca1d27,Immaculate Conception,1,Spotswood,new_jersey,1,1,2017-11-12,2017-11-12,False,False,False,2017,high
Daniel J. Hermes,Msgr.,Daniel,J.,Hermes,Monsignor,Monsignor,1,us-il-crystal-lake-st-thomas-the-apostle-33c5006d,St. Thomas the Apostle,1,Crystal Lake,illinois,1,1,2025-11-30,2025-11-30,False,True,False,2025,high
Daniel J. Jurek,Msgr.,Daniel,J.,Jurek,Monsignor,Monsignor,3,us-in-saint-meinrad-our-lady-of-monte-cassino-shrine-140fceea; us-in-saint-meinrad-saint-meinrad-archabbey-our-lady-of-einsiedeln-church-c5353a66; us-in-st-meinrad-archabbatial-church-of-our-lady-of-einsiedeln-758556c5,"Archabbatial Church of Our Lady of Einsiedeln; Our Lady of Monte Cassino Shrine; St. Meinrad Archabbey, Our Lady of Einsiedeln Church",2,Saint Meinrad; St. Meinrad,indiana,3,0,,,False,False,False,,high
Daniel J. Mahoney,Rev.,Daniel,J.,Mahoney,Priest,Priest,3,us-ma-hudson-st-michael-the-archangel-dec43af1; us-ma-quincy-holy-trinity-parish-most-blessed-sacrament-9a9d5d39; us-ma-quincy-holy-trinity-parish-our-lady-of-good-counsel-1f02cf36,Most Blessed Sacrament; Our Lady of Good Counsel; St. Michael,2,Hudson; Quincy,massachusetts,3,1,2025-04-13,2025-04-13,False,True,False,2025,high
Daniel J. Malaver,Fr.,Daniel,J.,Malaver,Priest,Priest,1,us-ca-long-beach-st-barnabas-catholic-church-98ecb4b1,St. Barnabas Catholic Church,1,Long Beach,california,1,1,2025-07-20,2025-07-20,False,True,False,2025,high
Daniel J. Merz,Rev.; Reverend,Daniel,J.,Merz,Priest,Priest,3,us-fl-miami-st-john-bosco-13ee8b6b; us-mo-hannibal-holy-family-703194f1; us-mo-russellville-st-michael-aa5a7dad,Mission of the Holy Family; St. John Bosco; St. Michael,3,Hannibal; Miami; Russellville,florida; missouri,3,2,2024-04-01,2025-02-01,False,True,True,2024; 2025,high
Daniel J. Plocharczyk,Msgr.,Daniel,J.,Plocharczyk,Monsignor,Monsignor,2,us-ct-new-britain-sacred-heart-c9ac232e; us-ct-norwich-st-joseph-e30703a9,Sacred Heart Church of NB; St. Joseph,2,New Britain; Norwich,connecticut,2,1,2024-06-02,2024-06-02,False,False,True,2024,high
Daniel J. Potterton,Msgr.,Daniel,J.,Potterton,Monsignor,Monsignor,1,us-ny-bellmore-st-barnabas-the-apostle-2d2c6dbc,St. Barnabas the Apostle,1,Bellmore,new_york,1,1,2026-01-01,2026-01-01,True,False,False,2026,high
Daniel J. Rogers,Fr.,Daniel,J.,Rogers,Priest,Priest,3,us-in-saint-meinrad-our-lady-of-monte-cassino-shrine-140fceea; us-in-saint-meinrad-saint-meinrad-archabbey-our-lady-of-einsiedeln-church-c5353a66; us-in-st-meinrad-archabbatial-church-of-our-lady-of-einsiedeln-758556c5,"Archabbatial Church of Our Lady of Einsiedeln; Our Lady of Monte Cassino Shrine; St. Meinrad Archabbey, Our Lady of Einsiedeln Church",2,Saint Meinrad; St. Meinrad,indiana,3,0,,,False,False,False,,high
Daniel J. Ryan,Rev.,Daniel,J.,Ryan,Priest,Priest,1,us-nj-trenton-st-hedwig-4261fb94,St. Hedwig,1,Trenton,new_jersey,1,1,2026-02-08,2026-02-08,True,False,False,2026,high
